MONUMENT_RECORD_NO,KNOWN_AS,EASTING,NORTHING,MONUMENT_TYPE,PERIOD,PERIOD_TEXT,CONSTRUCTION,DEMOLITION,STOREYS,BAYS,ROOF,EXTANT,CONDITION,CLASS,BROAD_TERM,NARROW_TERM,POSTAL_ADDRESS,LISTED_BUILDING_GRADE,LISTED_BUILDING_NO,AMENDED,MONUMENT_DESC,Location 1
275M,Church of St. Thomas the Martyr,359120,172767,Parish church,Med,Medieval 1200-1540,,,,,Gabled,1,,"Religious, Ritual and Funerary",Church,Parish church,"St.Thomas the Martyr, St.Thomas Street",,,39070,"The church of St. Thomas the Martyr, located on the west side of St. Thomas Street. The foundation date of the church is uncertain but the dedication to St. Thomas a Beckett (who was murdered in 1170) implies a foundation date near the end of the twelfth century. The church was a chapel of ease to St. John in Bedminster. The churchyard (BUAD 526M) had been established on the north side of the church by the end of the thirteenth century.
The original internal plan of the church and its medieval development is poorly understood. Documentary evidence records several chapels within the church including chapels dedicated to the Virgin Mary and St. Nicholas by the late fourteenth century (Wadley 1886, 5; 18), as well as one to St. John the Baptist in the first half of the fifteenth century (Wadley 1886, 134). In 1547 there were four chantry chapels - Chepe's, Welle's, Burton's and Stooke's (Maclean 1883-84, 234-235). Welles Chauntry is known to have been founded the early 1330s under the terms of the will of Richard of Wells and was endowed with two halls, the the adjacent shops and other appurtenances (Scott Holmes 1896, 162-163).
The church was substantially rebuilt in the fifteenth century, including the tower and in 1543-44 stone reclaimed from the buildings of the Carmelite friary in St. Augustine's Place was used for further repairs (Skeeters 1993, 81). The main evidence for the internal organisation of the medieval and early modern church is James Stewart's 1749 drawing of the interior (BUAD 2748), made prior to the rebuilding. This shows the church consisting of a nave, chancel and two aisles, with a lantern above the fourth bay eastward of the nave, and transepts to either side. A new reredos was constructed in 1716. The west wall of the lantern was decorated with complex blank arcading. At the west end of the nave was an organ, behind a screen of classical design. The nave roof was vaulted, there was a pulpit with tester, and iron gates led to the sanctuary. An organ was built according to a specification by John Harris in 1728-1729. The church appears to have had similar proportions in plan to its replacement.
In 1789 structural weaknesses were identified and it was decided to rebuild the church. Work began that summer, following a design by James Allen, and had been completed by December 1793 (Ison 1952, 84-88). The fifteenth century tower was retained but much of the medieval detailing seems to have been salvaged for buildings elsewhere in the city. A window from the old church was sold to Mr.Charles Joseph Harford, who installed it in his Pleasure Grounds at Stapleton Grove, Stapleton. The font from the old church was acquired by a Mr. Parrington of the White Lion Inn, St. Thomas Street, but was unfortunately broken on later removal (G. W. Braikenridge notes, Bristol Museum and Art Gallery). The 1716 reredos was retained, however. The organ was repaired by John Smith senior of the Bristol organ builders John Smith and Sons in 1825.
In the nineteenth century the tower was altered, and later restored. Burial within the church and chancel was ended by an Order in Council of 18 February 1854 made under the Burial Act of 1852. In 1896 the interior was reworked by the architect Hugh Roumieu Gough (1843-1904).
The church was declared redundant in 1956 and was vested in the Redundant Churches Fund in 1988. A fire in the 1990s destroyed the Harris organ and it was replaced with the organ from St. Werburgh's Church. Three short sections of pipe from the earlier organ are currently (23/10/2006) stored in a cupboard created in the northern entrance to the gallery from the tower. The tower retains a ring of eight bells, the earliest of which is reported to date to the fifteenth century.
Some parts of the late-medieval church have probably survived beneath the floor (BUAD 226) and within the fabric of the walls (BUAD 3273). When the wall of the south aisle of St. Thomas was replastered in 1881 C. J. Taylor, then the incumbent, noted the discovery of ""the detached shaft of a pillar and a stone fixed by a [illegible] that seemed to be the drain pipe from a piscina"" (BUAD 3273; BRO FCP/St.T/R/1b). Excavation in September 1916 is reported to have revealed the base for a respond, drawn by William Venn Gough, and the original fifteenth-century floor-level, 1.5 metres below the existing floor (BUAD 226; Pritchard 1920, 144).","(51.4524, -2.5897036)"
277M,The Wool Hall,359135,172752,Market hall,PM1,Post-medieval 1540-1700,,,,,Unknown,0,,Commercial,Market,Market hall,"The Wool Hall, 12 St.Thomas Street",,,35326,"The Wool Hall. Market hall. The original Wool Hall building, replaced by a larger version which was opened in 1830. On the corner of St. Thomas Street and St. Thomas Lane. Attached. Three storeys; 2 bays to St. Thomas Street. To the Street a large left-hand entrance, another entrance, then, centre, a large entrance with twin columns either side, then two hand-pumps with shared stone cistern or sink, and finally a smaller door on the right-hand end; a moulded string-course above the ground-floor. Large openings to both upper floors of left-hand bay; 2-window range at upper floors to right-hand bay, cross-windows to the lower; Royal arms, 'E.R.', on escutcheon between sills at first-floor; lamp on corner; cornice. Sign on Street frontage:""WOOL HALL. ALL sorts of Wool bought & sold"".","(51.452266, -2.589486)"
1238M,"37, King Street",358789,172726,House,PM1,Post-medieval 1540-1700,1688,1904,,,Gabled,0,,Domestic,Dwelling,House,"36, King Street",,,36055,"No.37, King Street., located on the northern side of King Street. The land between the lane on the east side of the Old Library (BUAD 14M) and St. Nicholas Almshouses (BUAD 17M) was leased to Thomas Wickham, carpenter, by the Corporation in 1650 and Wickham was almost certainly responsible for the construction of the building.
No.37 King Street was a house of three storeys and attic with a timber-framed front and a gabled roof. The main, south-east facing, elevation had an entrance on the eastern side with associated boot-scraper. The ground floor window was a shuttered 12/12 sash. Between ground and first floor there were full width pentice roofs, extending across the adjacent properties. At first floor level there was a wide first-floor bay Ipswich window, with a similar, narrower window to second-floor. At the centre of the attic gable there was a six-light transomed window flush to the gable. There was a single purlin either side of the roof.
Internally the house had a an original seventeenth-century staircase with splat balusters, and a chimney-piece described as ""Hepplewhite.""
The building was demolished at end of 1904, but was visited in advance of its removal by John Pritchard who described some of the internal features (Pritchard 1906, 130-131).","(51.452008, -2.594462)"
1593M,"2, St. James Barton",359053,173530,House,PM2,Post-medieval 1700-1900,,,,, ,0,,Domestic,Dwelling,House, ,,,38412,"2, St. James Barton","(51.459256, -2.5907563)"
1241M,Kingsdown Brewery,358533,173729,Brewery,PM2,Post-medieval 1700-1900,,,,, ,0,,Industrial,Brewing and malting site,Brewery,Montague Place,,,38852,"Kingsdown Brewery, located on the west side of Montague Place. The brewery was constructed in the late nineteenth century and was first recorded by the Ordnance Survey first edition 1:500-scale plan surveyed in 1881-82 (Bristol Sheet LXXI.16.14). It seems to have consisted of two brick buildings, each with a three-window range and four-storeys.
The brewery was largely demolished in the 1970s, although part of the front wall survived at the northern end of the site to a height of one storey until the site was redeveloped for housing from 2000. Archaeological monitoring of groundworks was undertaken in September and October of that year and on the north side of the site cellars of the brewery building with walls of Pennant sandstone rubble bonded in a grey lime mortar were recorded (Pilkington 2001; Williams 2000, 143).","(51.461007, -2.5982639)"
71M,Horse Repository,358172,172760,Stable,PM2,Post-medieval 1700-1900,,,,,Not recorded,0,,Transport,Stable,Stable,"Brunel House, St George's Road",,,35305,"The horse repository in College Street, which survived into the early twentieth-century, but which had been reused as a Garage by the 1950s. The site is now beneath the car park in St. George's Road.","(51.452268, -2.6033449)"
721M,Nelson's Bridge,358943,173253,Bridge,PM2,Post-medieval 1700-1900,,,,,Houses over,1,,Transport,Bridge,Bridge,Nelson Street,,,35445,"Nelson('s) Bridge. The crossing of the River Frome by Nelson Street. The bridge was painted by Hugh O'Neill in 1820 (M2900) and 1821 (M2879). These views show housing across both sides. The bridge was a single span arch of stone construction [87A]. The 1820 drawing, from the north, indicates a pointed arch. The bridge probably survives beneath the centre and southern side of the present street.","(51.456757, -2.5923073)"
722M,St. John's Bridge,358694,173239,Bridge,PM2,Post-medieval 1700-1900,,,,,None,1,,Transport,Bridge,Bridge,Rupert Street,,,36059,"St. John's Bridge. The Corporation ordered the erection of the bridge across the Frome, from Christmas Street to Lewin's Mead on 5 September 1757. It was a single span arch of stone construction and had ramped parapets with coping. A string course roughly indicating the road level behind the parapet.
A number of buildings, now demolished, were constructed on the bridge and there are rentals for them in the Bristol Record Office. The bridge was presumably incorporated into the culvert when this section of the Frome was covered in the later nineteenth century. In other places the culvert was built to butt against the bridge and it is therefore possible that the arch of the bridge has been preserved.","(51.456613, -2.5958892)"
908M,"Queen Elizabeth's Hospital, Jacob's Wells Road",357772,173040,Grammar school,PM2,Post-medieval 1700-1900,,,,,Gabled & flat,1,,Education,School,Private school,"Queen Elizabeth's Hospital, Berkeley Place",,1218,39052,"Queen Elizabeth's Hospital, located on the eastern side of Jacobs Wells Road. The grammar school was founded by John Carr, soapmaker, who made provision in his will of 1586 for the establishment of a school. The school's charter was granted by Queen Elizabeth I (reigned 1558-1603) and it charged the school with the education of poor children and orphans. The children wore distinctive 'blue' coats. Initially located at College Green, the school transferred to the buildings of the former St. Bartholomew's Hospital in the eighteenth century. A site, at least partly covering the site of the early-medieval Jewish burial ground known as Jews Acre, was acquired at Jacob's Wells Road and a new school building, designed by Thomas Foster and Son was constructed between 1844 and 1847.","(51.454756, -2.6091345)"
1694M,"Printer's Devil Public House, No.10 Broad Plain",359583,172955,House,PM2,Post-medieval 1700-1900,,,,,Mansard,1,,Domestic,Dwelling,House,"Printer's Devil, 10 Broad Plain",,,38944,"Printer's Devil Public House, No.10 Broad Plain, located on the south side of Broad Plain. The house was constructed in the late eighteenth century and is of two-storeys and attic, with a pantile mansard roof. The main, north-facing, elevation is of rendered brick with a two-window range and a canted bay. The entrance door is at the west side. The fenestration consists of sashes.
By 1882 the building was a public house and has subsequently remained in that use. The interior of the building was reordered in the twentieth century
The building has a Grade II listing (Listed Building number 901-1/42/27).","(51.454124, -2.5830624)"
1695M,"Mission chapel, John Street, Tower Hill",359545,172987,Mission church,PM2,Post-medieval 1700-1900,,,,, ,0,,"Religious, Ritual and Funerary",Church,Mission church, ,,,38944,"Mission Chapel located on the western side of John Street, Tower Hill. The building measured 20.4 metres from east to west and was 5.4 metre wide. It was in existence by the early 1880s and the Ordnance Survey first edition 1:500-scale Town Plan (Bristol Sheet LXXII.13.21) surveyed in 1882 records that it had seating for 150 worshippers. The building had been demolished by 1902.","(51.454409, -2.5836129)"
150M,"Master's House, St. Mark's Hospital",358415,172856,House,Med,Medieval 1200-1540,,,,,Gabled,0,,Domestic,Dwelling,House,"12, Denmark Street",,,35241,"The Master's House of the St. Mark's Hospital, also known as Gaunt's Hospital.
By 1913 the building was incorporated into the business premises of Messrs. John Harvey & Sons Ltd., whose family was reported by Pritchard to have been ""in possession of those buildings since 1796"" (Pritchard 1913, 128). Pritchard also reported that a small window had been discovered ""quite recently"" and had been opened up. The building had been destroyed by bombing by February 1941 (BUAD 4215).
The site is now part of the post-Second World War offices of Harvey's Wine Merchants.","(51.453149, -2.5998593)"
1001M,Weir at Bridewell,358904,173316,Weir,PM2,Post-medieval 1700-1900,,,,,None,0,,Water Supply and Drainage,Water Regulation Installation,Tumbling Weir,"Former Central Fire Station, Bridewell Street",,,35445,"Weir at Bridwell. Rocque's 1742 map shows a line, probably a weir, across most of the river Frome to the rear of the west side of St. James's Back, and a short distance (south-west) upstream of Bridewell Bridge. The feature is at a wider stretch of the river, and extends for about 80 feet (24.5 metres) south-west from the right bank. The small gap before the left bank shown by Rocque may represent the position of a sluice, which would indicate that the water mill (BUAD 105A) was on the town side of the river. The foundations of this mill appear to have been observed during construction of the new police and fire station complex in 1926.","(51.457321, -2.5928759)"
152M,"2, Ellbroad Street",359397,173250,House,PM1,Post-medieval 1540-1700,,1906,,,Gabled front,0,,Domestic,Dwelling,House,Lower Castle Street,,,36235,"No.2 Ellbroad Street. The house, located on the southern side of Ellbroad Street, was the western of a pair of gabled houses (the other was No.4 Ellbroad Street (BUAD 1297M)) of late seventeenth century date with jettied fronts, and ""lean-to shelters over the entrances"" (i.e. a common pentice roof between the ground and first floors). The building had a single bay and was of three storeys plus attic and cellar. the ground-floor was occupied by shop windows, the front entrances being adjacent. The gable ends rested on brackets and the building may have been cross-gabled. The house was demolished in 1906, along with 'The Rising Sun' public house (BUAD 151M), in order to construct enlarged licensed premises (which, in turn, were removed in 1954).
The site of the building now lies under the footway on the west side of Lower Castle Street and is therefore likely to have been disturbed by services to some extent.","(51.456763, -2.5857731)"
